Timestamp,SAB:G1.TNH_V,SAB:G1.L89SSC,SAB:G1.L52BT1,SAB:G1.L52BT2,SAB:G1.L52BD1,SAB:G1.L52BD2,SAB:G1.L52VG1,SAB:G1.L52VG2,SAB:G1.L1X,SAB:G1.L52BN1,SAB:G1.L52BN2,SAB:BOP.A3.LCA54.AA091XH01,SAB:G1.L52TK1,SAB:G1.L52TK2
4/12/2022T 15:41:49,12.4493866,,,,,,,,,,1,1,,
4/12/2022T 15:41:50,12.44881,,,,,,,,,,1,1,,
4/12/2022T 15:41:51,12.4482336,,,,,,,,,,1,1,,
4/12/2022T 15:41:52,12.4476576,,,,,,,,,,1,1,,
4/12/2022T 15:41:53,12.4487591,,,,,,,,,,1,1,,
4/12/2022T 15:41:54,12.4510431,,,,,,,,,,1,1,,
4/12/2022T 15:41:55,12.4533281,,,,,,,,,,1,1,,
4/12/2022T 15:41:56,12.4556122,,,,,,,,,,1,1,,
4/12/2022T 15:41:57,12.4578962,,,,,,,,,,1,1,,
4/12/2022T 15:41:58,12.4593658,,,,,,,,,,1,1,,
4/12/2022T 15:41:59,12.46004,,,,,,,,,,1,1,,
4/12/2022T 15:42:00,12.4607153,,,,,,,,,,1,1,,
4/12/2022T 15:42:01,12.4613905,,,,,,,,,,1,1,,
4/12/2022T 15:42:02,12.4620657,,,,,,,,,,1,1,,
4/12/2022T 15:42:03,12.4628878,,,,,,,,,,1,1,,
4/12/2022T 15:42:04,12.4639444,,,,,,,,,,1,1,,
4/12/2022T 15:42:05,12.4650011,,,,,,,,,,1,1,,
4/12/2022T 15:42:06,12.4660578,,,,,,,,,,1,1,,
4/12/2022T 15:42:07,12.4671135,,,,,,,,,,1,1,,
4/12/2022T 15:42:08,12.4679728,,,,,,,,,,1,1,,
4/12/2022T 15:42:09,12.46816,,,,,,,,,,1,1,,
4/12/2022T 15:42:10,12.4683456,,,,,,,,,,1,1,,
4/12/2022T 15:42:11,12.4685316,,,,,,,,,,1,1,,
4/12/2022T 15:42:12,12.4687185,,,,,,,,,,1,1,,
4/12/2022T 15:42:13,12.4690161,,,,,,,,,,1,1,,
4/12/2022T 15:42:14,12.470252,,,,,,,,,,1,1,,
4/12/2022T 15:42:15,12.471488,,,,,,,,,,1,1,,
4/12/2022T 15:42:16,12.472724,,,,,,,,,,1,1,,
4/12/2022T 15:42:17,12.47396,,,,,,,,,,1,1,,
4/12/2022T 15:42:18,12.4751959,,,,,,,,,,1,1,,
4/12/2022T 15:42:19,12.4756126,,,,,,,,,,1,1,,
4/12/2022T 15:42:20,12.476018,,,,,,,,,,1,1,,
4/12/2022T 15:42:21,12.4764242,,,,,,,,,,1,1,,
4/12/2022T 15:42:22,12.4768305,,,,,,,,,,1,1,,
4/12/2022T 15:42:23,12.4772358,,,,,,,,,,1,1,,
4/12/2022T 15:42:24,12.4769955,,,,,,,,,,1,1,,
4/12/2022T 15:42:25,12.476655,,,,,,,,,,1,1,,
4/12/2022T 15:42:26,12.4763145,,,,,,,,,,1,1,,
4/12/2022T 15:42:27,12.4759731,,,,,,,,,,1,1,,
4/12/2022T 15:42:28,12.4756327,,,,,,,,,,1,1,,
4/12/2022T 15:42:29,12.4764891,,,,,,,,,,1,1,,
4/12/2022T 15:42:30,12.4777517,,,,,,,,,,1,1,,
4/12/2022T 15:42:31,12.4790144,,,,,,,,,,1,1,,
4/12/2022T 15:42:32,12.4802761,,,,,,,,,,1,1,,
4/12/2022T 15:42:33,12.4815388,,,,,,,,,,1,1,,
4/12/2022T 15:42:34,12.48219,,,,,,,,,,1,1,,
4/12/2022T 15:42:35,12.4824781,,,,,,,,,,1,1,,
4/12/2022T 15:42:36,12.4827662,,,,,,,,,,1,1,,
4/12/2022T 15:42:37,12.4830542,,,,,,,,,,1,1,,
4/12/2022T 15:42:38,12.4833422,,,,,,,,,,1,1,,
4/12/2022T 15:42:39,12.48399,,,,,,,,,,1,1,,
4/12/2022T 15:42:40,12.4849863,,,,,,,,,,1,1,,
4/12/2022T 15:42:41,12.4859838,,,,,,,,,,1,1,,
4/12/2022T 15:42:42,12.48698,,,,,,,,,,1,1,,
4/12/2022T 15:42:43,12.487978,,,,,,,,,,1,1,,
4/12/2022T 15:42:44,12.4888039,,,,,,,,,,1,1,,
4/12/2022T 15:42:45,12.4894018,,,,,,,,,,1,1,,
4/12/2022T 15:42:46,12.49,,,,,,,,,,1,1,,
4/12/2022T 15:42:47,12.4905977,,,,,,,,,,1,1,,
4/12/2022T 15:42:48,12.4911947,,,,,,,,,,1,1,,
4/12/2022T 15:42:49,12.4919176,,,,,,,,,,1,1,,
4/12/2022T 15:42:50,12.4929848,,,,,,,,,,1,1,,
4/12/2022T 15:42:51,12.4940519,,,,,,,,,,1,1,,
4/12/2022T 15:42:52,12.4951191,,,,,,,,,,1,1,,
4/12/2022T 15:42:53,12.4961863,,,,,,,,,,1,1,,
4/12/2022T 15:42:54,12.4970779,,,,,,,,,,1,1,,
4/12/2022T 15:42:55,12.4969511,,,,,,,,,,1,1,,
4/12/2022T 15:42:56,12.4968243,,,,,,,,,,1,1,,
4/12/2022T 15:42:57,12.4966974,,,,,,,,,,1,1,,
4/12/2022T 15:42:58,12.4965706,,,,,,,,,,1,1,,
4/12/2022T 15:42:59,12.4964666,,,,,,,,,,1,1,,
4/12/2022T 15:43:00,12.4972115,,,,,,,,,,1,1,,
4/12/2022T 15:43:01,12.4979553,,,,,,,,,,1,1,,
4/12/2022T 15:43:02,12.4987,,,,,,,,,,1,1,,
4/12/2022T 15:43:03,12.499445,,,,,,,,,,1,1,,
4/12/2022T 15:43:04,12.50019,,,,,,,,,,1,1,,
4/12/2022T 15:43:05,12.500514,,,,,,,,,,1,1,,
4/12/2022T 15:43:06,12.5007944,,,,,,,,,,1,1,,
4/12/2022T 15:43:07,12.5010757,,,,,,,,,,1,1,,
4/12/2022T 15:43:08,12.5013561,,,,,,,,,,1,1,,
4/12/2022T 15:43:09,12.5016365,,,,,,,,,,1,1,,
